contingency_id,contingency_type,elements,probability,converged,solve_time,iterations,total_generation_mw,total_load_mw,total_losses_mw,max_voltage_pu,min_voltage_pu,max_line_loading_pct,pre_violations,post_violations,new_violations,cleared_violations,critical_violations,new_critical_violations,islands_created,islanded_buses_count,severity_score,criticality_level
N1_LINE_L_B024_B025,N-1,L_B024_B025,0.01222555402313527,True,0.49498820304870605,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_A027_A028,N-1,L_A027_A028,0.011975152960930753,True,0.5821347236633301,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_A019_A020,N-1,L_A019_A020,0.011869436573375428,True,0.5826537609100342,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_B030_B031,N-1,L_B030_B031,0.011790981460186175,True,0.5103535652160645,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_A043_A044,N-1,L_A043_A044,0.011422536203291856,True,0.5986483097076416,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_B029_B030,N-1,L_B029_B030,0.01124973065774678,True,0.4649941921234131,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_B013_B038,N-1,L_B013_B038,0.011009192224828034,True,0.5628411769866943,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_A040_A015,N-1,L_A040_A015,0.010527162740589723,True,0.4686093330383301,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_A037_A012,N-1,L_A037_A012,0.01020695115209024,True,0.5236821174621582,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_A032_A033,N-1,L_A032_A033,0.009941659297450335,True,0.5580039024353027,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_B027_B028,N-1,L_B027_B028,0.009901646291564219,True,0.617936372756958,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_B022_B023,N-1,L_B022_B023,0.009737079379539904,True,0.5483903884887695,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_A033_A034,N-1,L_A033_A034,0.00957831939004771,True,0.4188077449798584,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_B018_B019,N-1,L_B018_B019,0.008893904993040524,True,0.5421013832092285,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_B046_B047,N-1,L_B046_B047,0.008828481404515283,True,0.4875330924987793,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_B032_B033,N-1,L_B032_B033,0.008754914603066493,True,0.4817214012145996,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_A035_A036,N-1,L_A035_A036,0.008612100833569145,True,0.5109884738922119,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_A047_A048,N-1,L_A047_A048,0.008578566106526096,True,0.47423696517944336,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_A040_A041,N-1,L_A040_A041,0.008152659975075185,True,0.32648205757141113,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_A050_A001,N-1,L_A050_A001,0.008147339137172993,True,0.28933262825012207,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
